ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,file names
1309,Smith Wide Grip Decline Bench Press,Strength,Chest,Smith machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",13091301-Smith-Wide-Grip-Decline-Bench-Press_Chest_180.webp
1311,Wide Hand Push up,Strength,Chest,Body weight,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",13111301-Wide-Hand-Push-up_Chest_180.webp
1313,Lever Unilateral Row,Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13131301-Lever-Unilateral-Row_Back_180.webp
1316,Barbell Bent Arm Pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii",13161301-Barbell-Bent-Arm-Pullover_Back_180.webp
1317,Barbell Reverse Grip Incline Bench Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",13171301-Barbell-Reverse-Grip-Incline-Bench-Row_Back_180.webp
1321,Cable Rope Elevated Seated Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13211301-Cable-Rope-Elevated-Seated-Row_Back_180.webp
1323,Cable Rope Seated Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13231301-Cable-Rope-Seated-Row_Back_180.webp
1324,Cable Upper Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13241301-Cable-Upper-Row_Back_180.webp
1325,Cable Wide Grip Behind Neck Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Teres Major, Trapezius Lower Fibers",13251301-Cable-Wide-Grip-Behind-Neck-Pulldown_Back-FIX_180.webp
1326,Chin-Up,Strength,Back,Body weight,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers",13261301-Chin-Up_Back-FIX_180.webp
1327,Close Grip Chin-Up,Strength,Back,Body weight,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers",13271301-Close-Grip-Chin-Up_Back_180.webp
1328,Dumbbell Lying Rear Delt Row,Strength,Back,Dumbbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13281301-Dumbbell-Lying-Rear-Delt-Row_Back_180.webp
1329,Dumbbell Palm Rotational Bent Over Row,Strength,Back,Dumbbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13291301-Dumbbell-Palm-Rotational-Bent-Over-Row_Back_180.webp
1331,Dumbbell Reverse Grip Incline Bench Two Arm Row,Strength,Back,Dumbbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13311301-Dumbbell-Reverse-Grip-Incline-Bench-Two-Arm-Row_Back_180.webp
1344,EZ Bar Reverse Grip Bent Over Row,Strength,Back,EZ Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13441301-EZ-Bar-Reverse-Grip-Bent-Over-Row_Back_180.webp
1348,Lever Reverse Grip Vertical Row,Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13481301-Lever-Reverse-Grip-Vertical-Row_Back_180.webp
1349,Lever Reverse T-Bar Row,Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",13491301-Lever-Reverse-T-Bar-Row_Back_180.webp
